x;y;vx;vy;pitch;roll;yaw
1978.06;257.66;-104.14;436.45;63479.0;135.0;22700.0
1948.48;376.99;-136.21;327.63;63736.0;123.0;26628.0
1942.0;392.57;0.0;0.0;63222.0;0.0;31144.0
1942.0;392.57;0.0;0.0;63222.0;0.0;32104.0
1942.0;392.57;0.0;0.0;63222.0;0.0;32180.0
1942.0;392.57;0.0;0.0;63479.0;0.0;52920.0
1957.33;352.54;141.04;-368.15;63993.0;65535.0;52970.0
1996.75;236.87;86.62;-431.39;64507.0;65383.0;50186.0
2007.47;114.01;20.02;-439.54;64507.0;0.0;49554.0
2006.93;-6.94;-14.76;-439.75;64764.0;0.0;48756.0
2001.07;-129.74;-23.75;-439.36;64507.0;0.0;48580.0
1994.46;-250.56;-24.11;-439.34;64507.0;0.0;48580.0
1988.14;-374.78;-17.87;-439.64;64507.0;0.0;48788.0
1984.31;-499.59;-7.12;-439.94;64507.0;26.0;49256.0
1991.9;-622.22;42.38;-437.95;64250.0;0.0;50210.0
2002.83;-734.95;36.39;-438.49;64250.0;65508.0;49808.0
2008.87;-858.69;11.89;-439.84;64250.0;0.0;49370.0
2011.29;-981.6;7.71;-439.93;64250.0;0.0;49332.0
2013.42;-1105.49;7.11;-439.94;64250.0;0.0;49294.0
2015.02;-1228.41;4.19;-439.98;64250.0;0.0;49218.0
1976.24;-1337.1;-60.16;-435.87;64250.0;269.0;49180.0
1972.72;-1459.93;-1.81;-440.0;64250.0;0.0;49104.0
1972.17;-1583.83;-2.01;-439.99;64250.0;0.0;49104.0
1970.68;-1707.72;-15.56;-439.72;63993.0;0.0;48642.0
1965.04;-1830.04;-21.42;-439.48;63993.0;0.0;48642.0
1960.05;-1942.22;-18.83;-439.6;63479.0;0.0;48718.0
1922.89;-2055.09;14.29;-439.77;62708.0;259.0;51306.0
1921.84;-2174.98;-129.24;-420.59;62194.0;65466.0;53924.0
1915.9;-2295.08;243.77;-351.06;62194.0;270.0;64392.0
2024.12;-2278.74;297.58;324.11;63993.0;259.0;10948.0
2087.14;-2173.73;154.62;411.93;63479.0;247.0;14564.0
2098.91;-2062.73;-0.52;440.0;63479.0;0.0;16298.0
2099.34;-1938.82;-0.03;440.0;63993.0;0.0;16450.0
2066.44;-1823.72;-126.44;421.44;64250.0;65288.0;16614.0
2057.02;-1700.89;-8.28;439.92;64250.0;0.0;16500.0
2055.73;-1577.96;-3.36;439.99;64250.0;0.0;16462.0
2054.91;-1465.67;-3.2;439.99;64250.0;0.0;16462.0
2054.03;-1344.19;-3.19;439.99;64250.0;0.0;16462.0
2053.12;-1219.81;-3.2;439.99;64250.0;0.0;16462.0
2052.22;-1095.42;-3.19;439.99;64250.0;0.0;16424.0
2051.65;-971.52;-1.72;440.0;64250.0;0.0;16424.0
2051.22;-858.75;-1.69;440.0;64250.0;0.0;16424.0
