x;y;vx;vy;vz;pitch;roll;yaw
2224.75;-2365.34;-430.87;89.18;0.0;65021.0;65484.0;21888.0
2144.36;-2283.51;-148.47;414.19;0.0;64764.0;65378.0;18936.0
2072.27;-2187.0;-331.79;289.0;0.0;64764.0;0.0;17176.0
2039.43;-2072.53;-35.68;438.56;0.0;64764.0;65488.0;16952.0
2034.14;-1950.7;-11.55;439.85;0.0;64764.0;0.0;16634.0
2031.41;-1838.44;-10.49;439.87;0.0;64764.0;0.0;16634.0
2028.28;-1717.97;-11.56;439.85;0.0;64764.0;0.0;16580.0
1999.32;-1601.98;32.58;438.79;0.0;64764.0;65276.0;11934.0
2051.81;-1492.66;253.74;359.46;0.0;64764.0;65469.0;9556.0
2128.82;-1396.99;310.62;311.64;0.0;64764.0;65315.0;6148.0
2243.69;-1361.64;439.99;-3.32;0.0;64764.0;65341.0;64072.0
2355.97;-1375.87;434.15;-71.5;0.0;64764.0;0.0;63760.0
2475.11;-1358.49;439.98;-3.86;0.0;64764.0;65265.0;63798.0
2598.77;-1366.37;426.0;110.12;0.0;64764.0;259.0;63400.0
2716.34;-1357.8;416.08;-143.08;0.0;64764.0;65329.0;60678.0
2816.11;-1414.56;353.78;-261.61;0.0;64764.0;65414.0;57998.0
2907.78;-1492.51;214.8;-384.01;0.0;64764.0;65276.0;50860.0
2933.53;-1614.69;55.24;-436.52;0.0;64764.0;0.0;50368.0
2976.37;-1714.45;270.24;-347.24;0.0;65021.0;65412.0;49760.0
3001.83;-1831.95;49.3;-437.23;0.0;65021.0;0.0;50196.0
3013.34;-1952.88;33.7;-438.71;0.0;64764.0;65496.0;49624.0
3014.64;-2076.16;81.09;-432.47;0.0;65021.0;138.0;43530.0
2978.84;-2186.17;-302.46;-319.56;0.0;65021.0;65335.0;40004.0
2890.91;-2271.09;-236.1;-371.29;0.0;65021.0;92.0;35534.0
2794.78;-2324.27;-429.18;-96.96;0.0;65535.0;65447.0;34592.0
2676.7;-2345.74;-435.33;-63.95;0.0;65021.0;65484.0;33920.0
2562.39;-2385.22;-353.95;-261.37;0.0;64764.0;71.0;31618.0
2445.51;-2398.86;-432.06;83.2;0.0;64507.0;65389.0;29696.0
2326.12;-2395.05;-430.29;-91.89;0.0;64507.0;31.0;26910.0
2223.13;-2338.73;-345.91;271.92;0.0;64507.0;135.0;23346.0
2118.81;-2276.43;-255.24;358.4;0.0;64507.0;65265.0;20808.0
2076.44;-2161.39;-83.96;431.91;0.0;64507.0;65422.0;17644.0
2062.61;-2039.77;-37.69;438.38;0.0;64507.0;0.0;17224.0
2052.43;-1915.31;-35.44;438.57;0.0;64507.0;0.0;17224.0
2082.99;-1810.89;144.26;415.68;0.0;64507.0;259.0;17224.0
2084.32;-1687.97;-31.06;438.9;0.0;64507.0;0.0;17224.0
2074.66;-1564.93;-35.29;438.58;0.0;64507.0;0.0;17224.0
2064.64;-1442.89;-39.51;438.22;0.0;64507.0;0.0;17432.0
2051.74;-1320.63;-50.79;437.06;0.0;64764.0;0.0;17616.0
2038.9;-1209.08;-48.14;437.36;0.0;64764.0;0.0;17464.0
2026.61;-1086.76;-40.53;438.13;0.0;64764.0;0.0;17312.0
2016.12;-966.15;-38.26;447.03;208.33;64764.0;65534.0;17236.0
2005.59;-841.24;-36.99;447.15;-57.1;64764.0;65531.0;17160.0
1996.12;-717.73;-28.95;447.75;-319.4;64764.0;65494.0;16340.0
1994.21;-598.9;3.61;439.98;0.0;64764.0;0.0;16264.0
1995.56;-476.94;5.19;439.97;0.0;64764.0;0.0;16264.0
1997.36;-353.54;6.71;439.95;0.0;64764.0;0.0;16226.0
1998.95;-230.61;5.28;439.97;0.0;64764.0;0.0;16264.0
1998.74;-108.67;-23.06;439.4;0.0;64507.0;74.0;17386.0
1983.22;2.89;-86.3;431.45;0.0;64507.0;0.0;18580.0
1957.81;122.18;-98.61;428.81;0.0;64250.0;29.0;18918.0
1972.7;242.52;-103.64;427.62;0.0;64764.0;259.0;21646.0
1911.61;346.46;-289.83;331.06;0.0;65535.0;187.0;25150.0
1807.27;412.77;-408.35;163.86;0.0;65535.0;89.0;29320.0
1698.83;446.79;-428.25;101.01;0.0;65021.0;89.0;31024.0
1575.62;462.74;-438.91;30.92;0.0;64764.0;0.0;32144.0
1454.31;480.21;-395.36;193.12;0.0;64250.0;65296.0;34860.0
1343.84;459.33;-342.9;-275.71;0.0;64764.0;150.0;40782.0
1258.94;390.09;-408.47;-163.56;0.0;64764.0;65265.0;40820.0
1142.1;354.87;-309.38;-312.87;0.0;64764.0;259.0;44318.0
1090.77;243.69;-122.64;-422.56;0.0;64764.0;85.0;46794.0
1062.91;123.98;-89.92;-430.72;0.0;64764.0;0.0;47178.0
1046.43;3.24;-33.72;-438.71;0.0;64764.0;0.0;48502.0
1031.41;-107.93;-195.32;-394.27;0.0;64764.0;65265.0;49574.0
1006.35;-220.08;167.47;-406.88;0.0;64764.0;259.0;55550.0
1072.81;-322.12;265.83;-350.62;0.0;64764.0;81.0;56730.0
1166.72;-400.99;373.56;-232.49;0.0;64764.0;55.0;60064.0
1271.83;-462.86;380.57;-220.83;0.0;64764.0;0.0;60064.0
1382.11;-509.74;439.92;8.58;0.0;64764.0;259.0;60610.0
1491.96;-532.45;399.58;-184.22;0.0;64764.0;65460.0;60610.0
1606.55;-557.06;395.73;-192.34;0.0;65021.0;65276.0;58840.0
1708.97;-628.26;346.79;-270.81;0.0;65021.0;65493.0;58338.0
1801.68;-710.26;303.41;-318.66;0.0;65021.0;65470.0;56682.0
1875.48;-794.23;283.45;-336.53;0.0;65021.0;0.0;56270.0
1952.59;-890.61;276.35;-353.45;172.8;64764.0;65509.0;55662.0
2029.34;-990.35;271.27;-357.38;-93.68;64764.0;65519.0;55662.0
2105.82;-1092.02;265.94;-350.54;0.0;65021.0;30.0;56602.0
2191.53;-1179.91;333.17;-287.4;0.0;65021.0;112.0;58946.0
2294.74;-1244.28;396.04;-191.7;0.0;65021.0;100.0;61622.0
2411.57;-1257.45;436.83;52.78;0.0;65278.0;65276.0;62070.0
2528.98;-1290.48;403.5;-175.46;0.0;65278.0;65479.0;60870.0
2629.13;-1341.08;378.4;-224.52;0.0;65021.0;65451.0;59274.0
2741.92;-1381.87;438.91;-30.97;0.0;64764.0;45.0;56962.0
